id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
277506,Invicta,/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg,0.0,0.1111,/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg,0.0,0.1111,0.0,0.0,1,0,no
280928,A Chilling Cosplay,/o9ROr30gNeL8dRWZSMwyvR9SWw7.jpg,0.0,0.0719,/o9ROr30gNeL8dRWZSMwyvR9SWw7.jpg,0.0,0.0719,0.0,0.0,1,0,no
286681,Vayanadan Thampan,/boYm1heIyLu0p2E335z3DPiNc49.jpg,0.0,0.1287,/342UTLrU2GF2gCkDGfBKbj5R6Hn.jpg,0.0,0.12,0.0,-0.0087,1,0,no
289476,Kill Me Tomorrow,/dnLLx5mJ536VEH6YgnFUNAlyJiP.jpg,0.0,0.1667,/dnLLx5mJ536VEH6YgnFUNAlyJiP.jpg,0.0,0.1667,0.0,0.0,1,0,no
290696,Dysmorphia,/eUvwLaOeMRdau1UNdGCB2Jngpyz.jpg,0.0,0.1818,/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,1.0,1.0,1.0,0.8182,5,1,overlap_gain
290732,VIViD,/rRe20MjzhWKVBZMUolgpkEiq4ym.jpg,0.0,0.0769,/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,1.0,0.4762,1.0,0.3993,5,1,overlap_gain
292227,Night is the Time For Killing,/mqkxympXKa2gsHfQ6KCRPY8Ts92.jpg,0.3333,0.2131,/mqkxympXKa2gsHfQ6KCRPY8Ts92.jpg,0.3333,0.2131,0.0,0.0,2,0,no
294488,Maniac Too!,/uwWcnJvOi3e6y3n1kv6pt0GP9lQ.jpg,0.0,0.1348,/uwWcnJvOi3e6y3n1kv6pt0GP9lQ.jpg,0.0,0.1348,0.0,0.0,1,0,no
300817,Graves & Bones,/gA2YuVt24Hfm0ihFMC1hcmcIBjj.jpg,0.0,0.1007,/cXnLR3frbI1ZrEuy2j7Ub7xic0.jpg,1.0,1.0,1.0,0.8993,1,1,overlap_gain
302038,An Erotic Tale of Ms. Dracula,/rrZ4NBhe9auBM4FB02t51koz4Xq.jpg,0.3333,0.3934,/nBrYeXLAdqlH30CO2VpMTXgXeTk.jpg,1.0,1.0,0.6667,0.6066,3,1,overlap_gain
302512,Awaken the Devil,/uducCd6iOb5eBaQm18ouZ6aRlmM.jpg,0.3333,0.0102,/uducCd6iOb5eBaQm18ouZ6aRlmM.jpg,0.3333,0.0102,0.0,0.0,1,0,no
303898,Cut Throat,/xNnmuiypUYphkSQRXWAeKDBGfNl.jpg,0.0,0.1176,/xtxOdFj4yUZdGMYaTNHaA7VOEaT.jpg,1.0,0.5806,1.0,0.463,4,1,overlap_gain
308135,Cryptid,/wSODkEM8hm952IXZI73mwBVdJmL.jpg,0.0,0.0,/wSODkEM8hm952IXZI73mwBVdJmL.jpg,0.0,0.0,0.0,0.0,1,0,no
308421,Somebody's There,/7jV3PYF3sQ2CVRDsIlpUdtNsUUg.jpg,0.0,0.2062,/7jV3PYF3sQ2CVRDsIlpUdtNsUUg.jpg,0.0,0.2062,0.0,0.0,1,0,no
309063,The Ouija Experiment 2: Theatre of Death,/o3VMaDXxXc8VwvvX82sd418HCcx.jpg,0.1667,0.4557,/oqOvK0nyUCA32qp4xsNONzgMKkR.jpg,0.8333,0.725,0.6666,0.2693,3,1,overlap_gain
321768,Captive,/fJByYakjLIt9X2pQJtRDqStkMmQ.jpg,0.0,0.1622,/Amqdt4zL6wt5StJNxR4blfyMFu8.jpg,1.0,0.026,1.0,-0.1362,2,1,overlap_gain
322858,The Third Sex,/snzSFKPWUMFONxYbhivnDkEXnIO.jpg,0.0,0.2581,/snzSFKPWUMFONxYbhivnDkEXnIO.jpg,0.0,0.2581,0.0,0.0,1,0,no
328939,Cheerleader Camp 2 the Death,/pfvC8rWfo2disdbV6PpdEAwSCm4.jpg,0.0,0.3182,/sbrOnyatrFN11VO0EDWtsbYakni.jpg,1.0,1.0,1.0,0.6818,5,1,overlap_gain
332689,Playing with Dolls,/3ZkvAVrjhaYgdf0T1e8Hcqq3AQE.jpg,0.0,0.1935,/9mTZw5FG99Qnb6KeSZ6clSJ73wm.jpg,1.0,1.0,1.0,0.8065,5,1,overlap_gain
336107,Meat the Jones,/rOVg9nIwjwcfNqEdGrfN331D8XT.jpg,0.3333,0.5,/rOVg9nIwjwcfNqEdGrfN331D8XT.jpg,0.3333,0.5,0.0,0.0,2,0,no
347438,Kamara Kattu,/jOrmemeTahRUISXsif2eq4LJUAB.jpg,0.0,0.0087,/jOrmemeTahRUISXsif2eq4LJUAB.jpg,0.0,0.0087,0.0,0.0,1,0,no
347855,Curtain,/qVoBlKoBg4xfnBP6lIuozzQPAsi.jpg,0.0,0.1739,/qVoBlKoBg4xfnBP6lIuozzQPAsi.jpg,0.0,0.1739,0.0,0.0,1,0,no
359056,Primordial,/bwXwUdpBsB5rav8ij0cMDsjppNx.jpg,0.0,0.2069,/2QKQUDFtL50Cj9IwUu6HnPr7NAU.jpg,0.0,0.6667,0.0,0.4598,4,0,no
362807,Paranoid,/cM7MXLsK2wCBPOaS0Kx4lGF3GwO.jpg,0.0,0.3077,/cM7MXLsK2wCBPOaS0Kx4lGF3GwO.jpg,0.0,0.3077,0.0,0.0,1,0,no
366071,Enchiridion,/g4vuzLgXCsQkv81NSuIZGtj3msf.jpg,0.0,0.2,/g4vuzLgXCsQkv81NSuIZGtj3msf.jpg,0.0,0.2,0.0,0.0,1,0,no
373027,Geheimnisvolle Freundinnen,/74f7Rw352pLOy5SINVfZ77HnfTy.jpg,0.0,0.2529,/fRSAhijgMYl8xnYgfEuvkVicVx2.jpg,1.0,0.3268,1.0,0.0739,1,1,overlap_gain
379100,M is for Merry Christmas,/dQED4TeHOkZ5MXV7ipMRkqkssYO.jpg,0.0,0.1449,/2UyzD2h6buxQeYGcmOZS1RfyXFS.jpg,0.0,0.1449,0.0,0.0,2,0,no
382052,Not Alone,/6WJGrYga0zshLeu5QkZ5r4EJadm.jpg,0.0,0.3333,/6WJGrYga0zshLeu5QkZ5r4EJadm.jpg,0.0,0.3333,0.0,0.0,2,0,no
385378,Gemini,/bzqJHC48CWmGEJ0CemZ2co9jNSx.jpg,0.0,0.0962,/7evAzh0JTESI6xlvXx4LW1kimwt.jpg,0.0,0.1176,0.0,0.0214,2,0,no
392051,The Damned Thing,/sBFrsu3rkozZvJTdJMwtbCr0VM2.jpg,0.0,0.2963,/vbvnKjnH4uDvYcnhe9yb6BOnAXd.jpg,1.0,1.0,1.0,0.7037,2,1,overlap_gain
398656,Possessed,/yPE1T5O4COQ9nN2iHVLsPctzYqf.jpg,0.0,0.068,/yPE1T5O4COQ9nN2iHVLsPctzYqf.jpg,0.0,0.068,0.0,0.0,1,0,no
404206,The Music of Jo Hyeja,/1aL2kLtwpFHN59Y5jtE3Yn4gT7D.jpg,0.0,0.2609,/1aL2kLtwpFHN59Y5jtE3Yn4gT7D.jpg,0.0,0.2609,0.0,0.0,1,0,no
404713,Downhill,/4tEdLXx2lW3w8SBnsgRyLIwqF0l.jpg,0.0,0.1562,/mhEzwO6HbYwifOoqe5NUIx2YmAT.jpg,1.0,0.1553,1.0,-0.0009,1,1,overlap_gain
406582,Delirium,/pTRhNMh7ndYFVfG4Qhjqgu7WDqb.jpg,0.0,0.1538,/pTRhNMh7ndYFVfG4Qhjqgu7WDqb.jpg,0.0,0.1538,0.0,0.0,1,0,no
412471,Dark Silence,/pBP8eWb66SGbWtDMAMYghrqrJId.jpg,0.0,0.1895,/pnZDyaoo9OSm2tAHMqf03z9YNWz.jpg,1.0,1.0,1.0,0.8105,4,1,overlap_gain
412998,Mo,/cY71cdcxk3GWIFrRDnEkUt9ysX6.jpg,0.0,0.0,/cY71cdcxk3GWIFrRDnEkUt9ysX6.jpg,0.0,0.0,0.0,0.0,1,0,no
415852,Blood Church,/zlIa027GbOplbDef65B8dqRKowy.jpg,0.0,0.2667,/luXFqlhYSqsF7nihfEd3Uw4olf7.jpg,0.0,0.2667,0.0,0.0,5,0,no
417180,Vacant House,/ewu8e5WyLE91426VmqgQaoePlRI.jpg,0.0,0.2642,/jNwRbjsHBDDaYqUOqYUMogRx86R.jpg,1.0,0.5946,1.0,0.3304,2,1,overlap_gain
421490,Tall Men,/7UIPssW5B21uBAtQ2mojAJpm7oJ.jpg,0.0,0.0,/mC7FhsDmkPvCyIBX2FHXDTBlS8R.jpg,1.0,1.0,1.0,1.0,5,1,overlap_gain
424078,Spirits,/22aTJitI74odsnxVr9uIsuuA55V.jpg,0.0,0.1449,/22aTJitI74odsnxVr9uIsuuA55V.jpg,0.0,0.1449,0.0,0.0,1,0,no
459220,Shockwave,/csqybkX4q5PcJTkkjmsUpWCdiYU.jpg,0.0,0.0952,/csqybkX4q5PcJTkkjmsUpWCdiYU.jpg,0.0,0.0952,0.0,0.0,1,0,no
461724,The Spirits of Jupiter,/73LRallDsuMPYspHJyxffssqK7b.jpg,0.0,0.2295,/tViJzQsFKI1X296wq7PzJzOcXOh.jpg,1.0,0.0474,1.0,-0.1821,3,1,overlap_gain
